"","year","a_author_fraction","N","Internationale_Politik","Sicherheitspolitik","Europapolitik","Wirtschaft","Beschäftigung_Arbeit","Landwirtschaft","Finanzwesen","Steuer","Soziale_Fragen","Migration","Sozialer_Schutz","Gesundheit","Raumplanung_Wohnungswesen","Kultur","Bildung","Wissenschaft_Forschung","Medien_Kommunikation","Verkehr","Umwelt","Energie","Staatspolitik","Parlament","Recht_allgemein","Zivilrecht","Strafrecht","Gerichtswesen","Internationales_Recht","Menschenrechte"
"20","2000","Christlichdemokratische Fraktion",36,2.77777777777778,8.33333333333333,2.77777777777778,13.8888888888889,NA,11.1111111111111,16.6666666666667,NA,19.4444444444444,0,NA,11.1111111111111,2.77777777777778,0,13.8888888888889,2.77777777777778,5.55555555555556,2.77777777777778,8.33333333333333,0,8.33333333333333,0,2.77777777777778,NA,NA,NA,NA,NA
"21","2000","Evangelische und Unabhängige Fraktion",6,0,0,0,16.6666666666667,NA,0,33.3333333333333,NA,16.6666666666667,0,NA,33.3333333333333,0,0,0,0,0,33.3333333333333,0,0,33.3333333333333,0,16.6666666666667,NA,NA,NA,NA,NA
"22","2000","Fraktion der Schweizerischen Volkspartei",30,3.33333333333333,13.3333333333333,0,10,NA,26.6666666666667,0,NA,6.66666666666667,6.66666666666667,NA,13.3333333333333,0,0,3.33333333333333,3.33333333333333,13.3333333333333,3.33333333333333,3.33333333333333,0,20,0,13.3333333333333,NA,NA,NA,NA,NA
"23","2000","Fraktionslos",11,0,27.2727272727273,0,9.09090909090909,NA,18.1818181818182,9.09090909090909,NA,9.09090909090909,9.09090909090909,NA,9.09090909090909,0,0,0,0,9.09090909090909,9.09090909090909,0,0,9.09090909090909,0,36.3636363636364,NA,NA,NA,NA,NA
"24","2000","Freisinnig-demokratische Fraktion",58,3.44827586206897,8.62068965517241,3.44827586206897,8.62068965517241,NA,6.89655172413793,18.9655172413793,NA,8.62068965517241,0,NA,12.0689655172414,3.44827586206897,0,5.17241379310345,0,10.3448275862069,13.7931034482759,5.17241379310345,5.17241379310345,13.7931034482759,0,6.89655172413793,NA,NA,NA,NA,NA
"25","2000","Grüne Fraktion",26,23.0769230769231,7.69230769230769,0,3.84615384615385,NA,19.2307692307692,0,NA,11.5384615384615,7.69230769230769,NA,11.5384615384615,3.84615384615385,0,0,3.84615384615385,0,7.69230769230769,23.0769230769231,0,15.3846153846154,0,19.2307692307692,NA,NA,NA,NA,NA
"26","2000","Liberale Fraktion",6,0,0,0,0,NA,0,0,NA,33.3333333333333,0,NA,0,0,0,0,16.6666666666667,0,16.6666666666667,33.3333333333333,0,0,0,16.6666666666667,NA,NA,NA,NA,NA
"27","2000","Sozialdemokratische Fraktion",73,8.21917808219178,6.84931506849315,1.36986301369863,23.2876712328767,NA,4.10958904109589,13.6986301369863,NA,20.5479452054795,6.84931506849315,NA,6.84931506849315,1.36986301369863,0,6.84931506849315,2.73972602739726,13.6986301369863,4.10958904109589,4.10958904109589,2.73972602739726,6.84931506849315,0,12.3287671232877,NA,NA,NA,NA,NA
"29","2001","Christlichdemokratische Fraktion",183,0.546448087431694,6.55737704918033,1.09289617486339,14.7540983606557,NA,7.65027322404372,4.91803278688525,NA,4.91803278688525,4.91803278688525,NA,10.3825136612022,1.09289617486339,3.27868852459016,3.27868852459016,2.73224043715847,7.10382513661202,24.5901639344262,3.82513661202186,1.09289617486339,6.55737704918033,1.09289617486339,3.27868852459016,NA,NA,NA,NA,NA
"30","2001","Evangelische und Unabhängige Fraktion",34,2.94117647058824,0,0,2.94117647058824,NA,0,0,NA,11.7647058823529,0,NA,11.7647058823529,0,0,0,0,2.94117647058824,55.8823529411765,17.6470588235294,0,2.94117647058824,0,2.94117647058824,NA,NA,NA,NA,NA
"31","2001","Fraktion der Schweizerischen Volkspartei",208,10.5769230769231,11.5384615384615,2.88461538461538,5.28846153846154,NA,9.61538461538461,5.28846153846154,NA,1.92307692307692,6.25,NA,5.76923076923077,0.961538461538462,2.40384615384615,4.80769230769231,1.92307692307692,2.88461538461538,17.7884615384615,7.69230769230769,3.84615384615385,11.0576923076923,2.88461538461538,5.28846153846154,NA,NA,NA,NA,NA
"32","2001","Fraktionslos",41,7.31707317073171,12.1951219512195,2.4390243902439,7.31707317073171,NA,4.8780487804878,12.1951219512195,NA,2.4390243902439,9.75609756097561,NA,17.0731707317073,0,4.8780487804878,0,2.4390243902439,2.4390243902439,7.31707317073171,9.75609756097561,0,2.4390243902439,4.8780487804878,7.31707317073171,NA,NA,NA,NA,NA
"33","2001","Freisinnig-demokratische Fraktion",174,1.72413793103448,8.62068965517241,3.44827586206897,9.19540229885057,NA,8.04597701149425,2.8735632183908,NA,5.17241379310345,3.44827586206897,NA,6.89655172413793,1.14942528735632,2.8735632183908,5.74712643678161,6.32183908045977,4.59770114942529,21.8390804597701,11.4942528735632,0.574712643678161,6.32183908045977,1.14942528735632,6.89655172413793,NA,NA,NA,NA,NA
"34","2001","Grüne Fraktion",133,11.2781954887218,6.01503759398496,2.25563909774436,10.5263157894737,NA,6.01503759398496,1.50375939849624,NA,5.26315789473684,17.2932330827068,NA,9.02255639097744,0.75187969924812,2.25563909774436,0.75187969924812,1.50375939849624,4.51127819548872,12.0300751879699,8.27067669172932,2.25563909774436,6.76691729323308,3.00751879699248,9.02255639097744,NA,NA,NA,NA,NA
"35","2001","Liberale Fraktion",20,0,5,0,15,NA,10,10,NA,5,5,NA,0,0,0,5,35,10,10,5,0,0,0,10,NA,NA,NA,NA,NA
"36","2001","Sozialdemokratische Fraktion",373,8.57908847184987,4.28954423592493,1.60857908847185,16.0857908847185,NA,3.2171581769437,7.23860589812332,NA,5.89812332439678,9.11528150134048,NA,6.4343163538874,1.34048257372654,2.94906166219839,5.63002680965147,2.68096514745308,5.63002680965147,12.0643431635389,4.55764075067024,5.36193029490617,6.4343163538874,2.14477211796247,8.04289544235925,NA,NA,NA,NA,NA
"38","2002","Christlichdemokratische Fraktion",214,2.80373831775701,4.20560747663551,1.4018691588785,14.018691588785,NA,4.67289719626168,6.54205607476636,NA,8.8785046728972,2.33644859813084,NA,13.0841121495327,0.934579439252336,1.4018691588785,4.20560747663551,2.80373831775701,6.54205607476636,18.2242990654206,3.73831775700935,2.80373831775701,3.73831775700935,0.934579439252336,5.60747663551402,NA,NA,NA,NA,NA
"39","2002","Evangelische und Unabhängige Fraktion",26,3.84615384615385,0,0,7.69230769230769,NA,3.84615384615385,3.84615384615385,NA,15.3846153846154,3.84615384615385,NA,23.0769230769231,3.84615384615385,3.84615384615385,0,0,0,11.5384615384615,19.2307692307692,3.84615384615385,0,0,0,NA,NA,NA,NA,NA
"40","2002","Fraktion der Schweizerischen Volkspartei",196,12.7551020408163,8.6734693877551,1.53061224489796,4.59183673469388,NA,16.3265306122449,6.63265306122449,NA,6.12244897959184,7.6530612244898,NA,3.57142857142857,3.06122448979592,3.57142857142857,1.53061224489796,0.510204081632653,4.08163265306122,11.2244897959184,3.06122448979592,0,8.16326530612245,1.53061224489796,3.57142857142857,NA,NA,NA,NA,NA
"41","2002","Fraktionslos",45,15.5555555555556,0,2.22222222222222,6.66666666666667,NA,6.66666666666667,4.44444444444444,NA,11.1111111111111,6.66666666666667,NA,13.3333333333333,0,0,0,2.22222222222222,8.88888888888889,13.3333333333333,2.22222222222222,0,11.1111111111111,2.22222222222222,4.44444444444444,NA,NA,NA,NA,NA
"42","2002","Freisinnig-demokratische Fraktion",189,2.64550264550265,6.34920634920635,1.58730158730159,11.6402116402116,NA,4.76190476190476,13.2275132275132,NA,10.0529100529101,2.64550264550265,NA,13.2275132275132,3.17460317460317,2.64550264550265,2.11640211640212,2.11640211640212,7.40740740740741,12.6984126984127,5.29100529100529,1.58730158730159,4.76190476190476,1.05820105820106,4.23280423280423,NA,NA,NA,NA,NA
"43","2002","Grüne Fraktion",95,20,11.5789473684211,1.05263157894737,2.10526315789474,NA,4.21052631578947,2.10526315789474,NA,11.5789473684211,2.10526315789474,NA,12.6315789473684,1.05263157894737,2.10526315789474,3.15789473684211,2.10526315789474,1.05263157894737,4.21052631578947,13.6842105263158,2.10526315789474,4.21052631578947,2.10526315789474,5.26315789473684,NA,NA,NA,NA,NA
"44","2002","Liberale Fraktion",20,10,5,5,10,NA,0,5,NA,5,0,NA,30,0,0,10,10,5,10,0,0,5,0,0,NA,NA,NA,NA,NA
"45","2002","Sozialdemokratische Fraktion",350,9.42857142857143,4.57142857142857,2,16.8571428571429,NA,2.28571428571429,6.57142857142857,NA,11.7142857142857,1.42857142857143,NA,10.8571428571429,0.857142857142857,2,5.14285714285714,1.14285714285714,7.42857142857143,8,5.42857142857143,3.42857142857143,4.57142857142857,1.14285714285714,6.28571428571429,NA,NA,NA,NA,NA
"47","2003","Christlichdemokratische Fraktion",176,3.40909090909091,7.38636363636364,1.13636363636364,18.1818181818182,NA,2.27272727272727,11.9318181818182,NA,15.9090909090909,3.97727272727273,NA,7.38636363636364,1.13636363636364,2.27272727272727,2.84090909090909,1.70454545454545,3.40909090909091,15.9090909090909,7.38636363636364,2.27272727272727,2.84090909090909,0.568181818181818,4.54545454545455,NA,NA,NA,NA,NA
"48","2003","Evangelische und Unabhängige Fraktion",26,7.69230769230769,11.5384615384615,0,7.69230769230769,NA,0,7.69230769230769,NA,23.0769230769231,3.84615384615385,NA,23.0769230769231,0,0,0,0,3.84615384615385,23.0769230769231,7.69230769230769,3.84615384615385,0,0,3.84615384615385,NA,NA,NA,NA,NA
"49","2003","EVP/EDU Fraktion",5,0,0,0,0,NA,0,0,NA,0,20,NA,20,0,0,0,0,0,40,20,0,0,20,0,NA,NA,NA,NA,NA
"50","2003","Fraktion der Schweizerischen Volkspartei",211,9.00473933649289,7.58293838862559,2.3696682464455,7.10900473933649,NA,8.05687203791469,7.10900473933649,NA,9.00473933649289,8.53080568720379,NA,4.2654028436019,1.8957345971564,2.8436018957346,0.947867298578199,0.947867298578199,5.21327014218009,15.6398104265403,4.739336492891,1.4218009478673,10.9004739336493,2.8436018957346,3.3175355450237,NA,NA,NA,NA,NA
"51","2003","Fraktionslos",40,5,20,0,15,NA,0,17.5,NA,7.5,2.5,NA,5,0,2.5,0,0,15,7.5,0,0,2.5,0,10,NA,NA,NA,NA,NA
"52","2003","Freisinnig-demokratische Fraktion",142,6.33802816901408,10.5633802816901,0.704225352112676,16.1971830985915,NA,4.22535211267606,14.7887323943662,NA,7.74647887323944,3.52112676056338,NA,11.2676056338028,3.52112676056338,0.704225352112676,4.92957746478873,0.704225352112676,1.40845070422535,19.0140845070423,5.63380281690141,2.11267605633803,7.04225352112676,0,4.92957746478873,NA,NA,NA,NA,NA
"53","2003","Grüne Fraktion",109,20.1834862385321,13.7614678899083,1.8348623853211,4.58715596330275,NA,2.75229357798165,3.6697247706422,NA,7.3394495412844,4.58715596330275,NA,6.42201834862385,0,0.917431192660551,0.917431192660551,0,3.6697247706422,9.1743119266055,9.1743119266055,6.42201834862385,9.1743119266055,1.8348623853211,1.8348623853211,NA,NA,NA,NA,NA
"54","2003","Liberale Fraktion",13,7.69230769230769,15.3846153846154,0,7.69230769230769,NA,0,15.3846153846154,NA,7.69230769230769,0,NA,7.69230769230769,0,7.69230769230769,15.3846153846154,0,0,7.69230769230769,0,0,7.69230769230769,0,7.69230769230769,NA,NA,NA,NA,NA
"55","2003","Sozialdemokratische Fraktion",309,11.6504854368932,8.09061488673139,1.94174757281553,19.4174757281553,NA,0.647249190938511,8.41423948220065,NA,12.621359223301,3.55987055016181,NA,10.6796116504854,0.647249190938511,1.61812297734628,4.20711974110032,0.323624595469256,3.88349514563107,8.7378640776699,5.50161812297735,4.53074433656958,5.8252427184466,1.29449838187702,4.53074433656958,NA,NA,NA,NA,NA
"57","2004","Christlichdemokratische Fraktion",230,1.30434782608696,7.39130434782609,2.60869565217391,16.0869565217391,NA,6.08695652173913,15.2173913043478,NA,10.8695652173913,2.60869565217391,NA,7.39130434782609,2.17391304347826,3.04347826086957,5.21739130434783,0.869565217391304,5.65217391304348,15.2173913043478,6.08695652173913,1.30434782608696,8.69565217391304,2.17391304347826,4.78260869565217,NA,NA,NA,NA,NA
"58","2004","EVP/EDU Fraktion",33,0,9.09090909090909,0,3.03030303030303,NA,3.03030303030303,12.1212121212121,NA,9.09090909090909,6.06060606060606,NA,18.1818181818182,6.06060606060606,0,0,0,0,18.1818181818182,15.1515151515152,0,3.03030303030303,0,12.1212121212121,NA,NA,NA,NA,NA
"59","2004","Fraktion der Schweizerischen Volkspartei",271,5.90405904059041,10.7011070110701,4.4280442804428,8.11808118081181,NA,8.11808118081181,9.96309963099631,NA,8.85608856088561,6.64206642066421,NA,5.90405904059041,1.4760147601476,2.5830258302583,4.0590405904059,1.1070110701107,4.0590405904059,18.8191881918819,7.01107011070111,0.738007380073801,10.7011070110701,1.1070110701107,7.74907749077491,NA,NA,NA,NA,NA
"60","2004","Fraktionslos",48,4.16666666666667,4.16666666666667,0,14.5833333333333,NA,2.08333333333333,6.25,NA,8.33333333333333,8.33333333333333,NA,12.5,2.08333333333333,4.16666666666667,4.16666666666667,0,16.6666666666667,8.33333333333333,2.08333333333333,0,4.16666666666667,8.33333333333333,18.75,NA,NA,NA,NA,NA
"61","2004","Freisinnig-demokratische Fraktion",187,3.74331550802139,4.81283422459893,6.41711229946524,18.1818181818182,NA,5.3475935828877,12.2994652406417,NA,2.13903743315508,3.74331550802139,NA,9.62566844919786,6.41711229946524,2.13903743315508,4.81283422459893,4.81283422459893,6.41711229946524,17.1122994652406,6.95187165775401,0,6.95187165775401,3.20855614973262,5.3475935828877,NA,NA,NA,NA,NA
"62","2004","Grüne Fraktion",136,17.6470588235294,13.9705882352941,1.47058823529412,5.14705882352941,NA,5.14705882352941,0.735294117647059,NA,8.08823529411765,10.2941176470588,NA,9.55882352941176,3.67647058823529,0.735294117647059,2.94117647058824,1.47058823529412,0,7.35294117647059,17.6470588235294,4.41176470588235,11.0294117647059,0.735294117647059,5.14705882352941,NA,NA,NA,NA,NA
"63","2004","Sozialdemokratische Fraktion",410,9.75609756097561,11.9512195121951,2.19512195121951,14.390243902439,NA,0.731707317073171,7.31707317073171,NA,14.1463414634146,1.95121951219512,NA,8.53658536585366,1.95121951219512,2.68292682926829,4.63414634146341,1.46341463414634,4.63414634146341,7.5609756097561,5.60975609756098,2.19512195121951,8.53658536585366,3.90243902439024,10.2439024390244,NA,NA,NA,NA,NA
"65","2005","Christlichdemokratische Fraktion",209,4.78468899521531,4.78468899521531,2.87081339712919,11.4832535885167,NA,3.82775119617225,11.4832535885167,NA,14.3540669856459,2.87081339712919,NA,13.3971291866029,0.478468899521531,1.43540669856459,5.74162679425837,1.43540669856459,5.74162679425837,12.4401913875598,3.82775119617225,2.87081339712919,9.09090909090909,2.39234449760766,5.74162679425837,NA,NA,NA,NA,NA
"66","2005","EVP/EDU Fraktion",50,8,6,2,4,NA,2,20,NA,8,2,NA,20,0,0,0,0,6,18,6,4,10,2,8,NA,NA,NA,NA,NA
"67","2005","Fraktion der Schweizerischen Volkspartei",309,8.41423948220065,18.4466019417476,8.7378640776699,7.76699029126214,NA,6.79611650485437,12.621359223301,NA,8.41423948220065,3.55987055016181,NA,5.8252427184466,2.9126213592233,1.94174757281553,4.20711974110032,1.94174757281553,2.9126213592233,10.0323624595469,7.44336569579288,1.94174757281553,12.621359223301,2.9126213592233,3.88349514563107,NA,NA,NA,NA,NA
"68","2005","Fraktionslos",61,4.91803278688525,3.27868852459016,4.91803278688525,14.7540983606557,NA,3.27868852459016,8.19672131147541,NA,8.19672131147541,9.83606557377049,NA,9.83606557377049,0,0,0,0,8.19672131147541,14.7540983606557,4.91803278688525,1.63934426229508,3.27868852459016,4.91803278688525,8.19672131147541,NA,NA,NA,NA,NA
"69","2005","Freisinnig-demokratische Fraktion",176,6.25,8.52272727272727,3.97727272727273,18.1818181818182,NA,6.81818181818182,11.9318181818182,NA,6.25,2.84090909090909,NA,11.3636363636364,1.13636363636364,3.40909090909091,4.54545454545455,2.84090909090909,6.81818181818182,13.0681818181818,2.27272727272727,0,11.9318181818182,0.568181818181818,6.25,NA,NA,NA,NA,NA
"70","2005","Grüne Fraktion",184,18.4782608695652,16.8478260869565,0.543478260869565,6.52173913043478,NA,3.80434782608696,3.26086956521739,NA,5.97826086956522,6.52173913043478,NA,11.4130434782609,6.52173913043478,1.6304347826087,2.71739130434783,1.6304347826087,3.80434782608696,5.97826086956522,13.0434782608696,2.71739130434783,5.97826086956522,0.543478260869565,5.43478260869565,NA,NA,NA,NA,NA
