"Kanton","Jahr","Partei","Parteistimmen","Fiktive Wählende","Parteistärke in %"
"Schweiz","2015","FDP/PLR (PRD)",...,413445.32,16.40
"Schweiz","2015","CVP/PDC",...,293652.37,11.65
"Schweiz","2015","SP/PS",...,475074.40,18.84
"Schweiz","2015","SVP/UDC",...,740966.80,29.39
"Schweiz","2015","LPS/PLS",...,...,...
"Schweiz","2015","LdU/AdI",...,...,...
"Schweiz","2015","EVP/PEV",...,47770.04,1.89
"Schweiz","2015","CSP/PCS",...,5272.43,0.21
"Schweiz","2015","GLP/PVL",...,116640.41,4.63
"Schweiz","2015","BDP/PBD",...,103476.36,4.10
"Schweiz","2015","PdA/PST",...,10098.56,0.40
"Schweiz","2015","PSA",...,...,...
"Schweiz","2015","POCH",...,...,...
"Schweiz","2015","GPS/PES",...,177944.18,7.06
"Schweiz","2015","FGA/AVF",...,...,...
"Schweiz","2015","Sol.",...,11475.31,0.46
"Schweiz","2015","SD/DS",...,3079.25,0.12
"Schweiz","2015","Rep./Rép.",...,...,...
"Schweiz","2015","EDU/UDF",...,29939.01,1.19
"Schweiz","2015","FPS/PSL",...,...,...
"Schweiz","2015","Lega",...,25220.78,1.00
"Schweiz","2015","MCR",...,8184.00,0.32
"Schweiz","2015","Sep./Sép.",...,...,...
"Schweiz","2015","Übrige/Autres",...,59262.80,2.35
"Schweiz","2011","FDP/PLR (PRD)",...,368950.58,15.10
"Schweiz","2011","CVP/PDC",...,300543.72,12.30
"Schweiz","2011","SP/PS",...,457316.50,18.72
"Schweiz","2011","SVP/UDC",...,648675.81,26.56
"Schweiz","2011","LPS/PLS",...,...,...
"Schweiz","2011","LdU/AdI",...,...,...
"Schweiz","2011","EVP/PEV",...,48789.41,2.00
"Schweiz","2011","CSP/PCS",...,6247.67,0.26
"Schweiz","2011","GLP/PVL",...,131436.03,5.38
"Schweiz","2011","BDP/PBD",...,132279.19,5.42
"Schweiz","2011","PdA/PST",...,13214.69,0.54
"Schweiz","2011","PSA",...,...,...
"Schweiz","2011","POCH",...,...,...
"Schweiz","2011","GPS/PES",...,205983.82,8.43
"Schweiz","2011","FGA/AVF",...,...,...
"Schweiz","2011","Sol.",...,8267.55,0.34
"Schweiz","2011","SD/DS",...,4892.87,0.20
"Schweiz","2011","Rep./Rép.",...,...,...
"Schweiz","2011","EDU/UDF",...,31056.40,1.27
"Schweiz","2011","FPS/PSL",...,...,...
"Schweiz","2011","Lega",...,19657.47,0.80
"Schweiz","2011","MCR",...,10713.99,0.44
"Schweiz","2011","Sep./Sép.",...,...,...
"Schweiz","2011","Übrige/Autres",...,54622.31,2.24
"Schweiz","2007","FDP/PLR (PRD)",...,367301.65,15.76
"Schweiz","2007","CVP/PDC",...,337413.00,14.48
"Schweiz","2007","SP/PS",...,455500.62,19.55
"Schweiz","2007","SVP/UDC",...,673406.79,28.90
"Schweiz","2007","LPS/PLS",...,43167.85,1.85
"Schweiz","2007","LdU/AdI",...,...,...
"Schweiz","2007","EVP/PEV",...,56907.93,2.44
"Schweiz","2007","CSP/PCS",...,10107.39,0.43
"Schweiz","2007","GLP/PVL",...,33258.19,1.43
"Schweiz","2007","BDP/PBD",...,...,...
"Schweiz","2007","PdA/PST",...,17063.29,0.73
"Schweiz","2007","PSA",...,...,...
"Schweiz","2007","POCH",...,...,...
"Schweiz","2007","GPS/PES",...,223393.35,9.59
"Schweiz","2007","FGA/AVF",...,4601.84,0.20
"Schweiz","2007","Sol.",...,8849.37,0.38
"Schweiz","2007","SD/DS",...,12459.24,0.53
"Schweiz","2007","Rep./Rép.",...,...,...
"Schweiz","2007","EDU/UDF",...,29851.21,1.28
"Schweiz","2007","FPS/PSL",...,2316.87,0.10
"Schweiz","2007","Lega",...,13464.80,0.58
"Schweiz","2007","MCR",...,2692.09,0.12
"Schweiz","2007","Sep./Sép.",...,...,...
"Schweiz","2007","Übrige/Autres",...,38626.51,1.66
"Schweiz","2003","FDP/PLR (PRD)",...,368308.00,17.34
"Schweiz","2003","CVP/PDC",...,304994.52,14.36
"Schweiz","2003","SP/PS",...,495536.96,23.33
"Schweiz","2003","SVP/UDC",...,566068.63,26.65
"Schweiz","2003","LPS/PLS",...,46574.00,2.19
"Schweiz","2003","LdU/AdI",...,...,...
"Schweiz","2003","EVP/PEV",...,48283.16,2.27
"Schweiz","2003","CSP/PCS",...,7642.70,0.36
"Schweiz","2003","GLP/PVL",...,...,...
"Schweiz","2003","BDP/PBD",...,...,...
"Schweiz","2003","PdA/PST",...,14839.61,0.70
"Schweiz","2003","PSA",...,...,...
"Schweiz","2003","POCH",...,...,...
"Schweiz","2003","GPS/PES",...,157917.07,7.43
"Schweiz","2003","FGA/AVF",...,11202.33,0.53
"Schweiz","2003","Sol.",...,10733.84,0.51
"Schweiz","2003","SD/DS",...,20358.04,0.96
"Schweiz","2003","Rep./Rép.",...,...,...
"Schweiz","2003","EDU/UDF",...,26854.15,1.26
"Schweiz","2003","FPS/PSL",...,4044.44,0.19
"Schweiz","2003","Lega",...,7463.48,0.35
"Schweiz","2003","MCR",...,...,...
"Schweiz","2003","Sep./Sép.",...,5589.70,0.26
"Schweiz","2003","Übrige/Autres",...,27630.36,1.30
"Schweiz","1999","FDP/PLR (PRD)",...,392423.43,19.92
"Schweiz","1999","CVP/PDC",...,312363.37,15.85
"Schweiz","1999","SP/PS",...,442798.22,22.47
"Schweiz","1999","SVP/UDC",...,444180.95,22.54
"Schweiz","1999","LPS/PLS",...,44533.50,2.26
"Schweiz","1999","LdU/AdI",...,14567.08,0.74
"Schweiz","1999","EVP/PEV",...,36016.68,1.83
"Schweiz","1999","CSP/PCS",...,8326.36,0.42
"Schweiz","1999","GLP/PVL",...,...,...
"Schweiz","1999","BDP/PBD",...,...,...
"Schweiz","1999","PdA/PST",...,18878.41,0.96
"Schweiz","1999","PSA",...,...,...
"Schweiz","1999","POCH",...,...,...
"Schweiz","1999","GPS/PES",...,97855.24,4.97
"Schweiz","1999","FGA/AVF",...,6294.35,0.32
"Schweiz","1999","Sol.",...,9310.80,0.47
"Schweiz","1999","SD/DS",...,36221.69,1.84
"Schweiz","1999","Rep./Rép.",...,...,...
"Schweiz","1999","EDU/UDF",...,24628.95,1.25
"Schweiz","1999","FPS/PSL",...,17062.40,0.87
"Schweiz","1999","Lega",...,17291.28,0.88
"Schweiz","1999","MCR",...,...,...
"Schweiz","1999","Sep./Sép.",...,...,...
"Schweiz","1999","Übrige/Autres",...,47558.29,2.41
"Schweiz","1995","FDP/PLR (PRD)",...,384515.12,20.18
"Schweiz","1995","CVP/PDC",...,319971.99,16.79
"Schweiz","1995","SP/PS",...,415226.08,21.79
"Schweiz","1995","SVP/UDC",...,283902.37,14.90
"Schweiz","1995","LPS/PLS",...,51182.26,2.69
"Schweiz","1995","LdU/AdI",...,34800.97,1.83
"Schweiz","1995","EVP/PEV",...,34071.27,1.79
"Schweiz","1995","CSP/PCS",...,5625.19,0.30
"Schweiz","1995","GLP/PVL",...,...,...
"Schweiz","1995","BDP/PBD",...,...,...
"Schweiz","1995","PdA/PST",...,22849.56,1.20
"Schweiz","1995","PSA",...,...,...
"Schweiz","1995","POCH",...,...,...
"Schweiz","1995","GPS/PES",...,96068.89,5.04
"Schweiz","1995","FGA/AVF",...,28076.22,1.47
"Schweiz","1995","Sol.",...,6167.99,0.32
"Schweiz","1995","SD/DS",...,59613.13,3.13
"Schweiz","1995","Rep./Rép.",...,...,...
"Schweiz","1995","EDU/UDF",...,24795.09,1.30
"Schweiz","1995","FPS/PSL",...,75641.41,3.97
"Schweiz","1995","Lega",...,17939.98,0.94
"Schweiz","1995","MCR",...,...,...
"Schweiz","1995","Sep./Sép.",...,3948.03,0.21
"Schweiz","1995","Übrige/Autres",...,40929.43,2.15
"Schweiz","1991","FDP/PLR (PRD)",...,429072.20,20.99
"Schweiz","1991","CVP/PDC",...,367927.62,18.00
"Schweiz","1991","SP/PS",...,377968.23,18.49
"Schweiz","1991","SVP/UDC",...,243267.65,11.90
"Schweiz","1991","LPS/PLS",...,62072.82,3.04
"Schweiz","1991","LdU/AdI",...,57818.59,2.83
"Schweiz","1991","EVP/PEV",...,38680.80,1.89
"Schweiz","1991","CSP/PCS",...,8038.53,0.39
"Schweiz","1991","GLP/PVL",...,...,...
"Schweiz","1991","BDP/PBD",...,...,...
"Schweiz","1991","PdA/PST",...,15871.18,0.78
"Schweiz","1991","PSA",...,12005.76,0.59
"Schweiz","1991","POCH",...,4551.81,0.22
"Schweiz","1991","GPS/PES",...,124148.68,6.07
"Schweiz","1991","FGA/AVF",...,25605.11,1.25
"Schweiz","1991","Sol.",...,...,...
"Schweiz","1991","SD/DS",...,69297.13,3.39
"Schweiz","1991","Rep./Rép.",...,...,...
"Schweiz","1991","EDU/UDF",...,20395.34,1.00
"Schweiz","1991","FPS/PSL",...,103585.02,5.07
"Schweiz","1991","Lega",...,28290.04,1.38
"Schweiz","1991","MCR",...,...,...
"Schweiz","1991","Sep./Sép.",...,5258.11,0.26
"Schweiz","1991","Übrige/Autres",...,50245.39,2.46
"Schweiz","1987","FDP/PLR (PRD)",...,443617.47,22.93
"Schweiz","1987","CVP/PDC",...,378821.92,19.58
"Schweiz","1987","SP/PS",...,356265.89,18.42
"Schweiz","1987","SVP/UDC",...,213252.74,11.02
"Schweiz","1987","LPS/PLS",...,52531.52,2.72
"Schweiz","1987","LdU/AdI",...,80690.86,4.17
"Schweiz","1987","EVP/PEV",...,37265.42,1.93
"Schweiz","1987","CSP/PCS",...,5888.61,0.30
"Schweiz","1987","GLP/PVL",...,...,...
"Schweiz","1987","BDP/PBD",...,...,...
"Schweiz","1987","PdA/PST",...,15527.66,0.80
"Schweiz","1987","PSA",...,10878.95,0.56
"Schweiz","1987","POCH",...,24342.82,1.26
"Schweiz","1987","GPS/PES",...,94377.79,4.88
"Schweiz","1987","FGA/AVF",...,46405.22,2.40
"Schweiz","1987","Sol.",...,...,...
"Schweiz","1987","SD/DS",...,49104.24,2.54
"Schweiz","1987","Rep./Rép.",...,6769.23,0.35
"Schweiz","1987","EDU/UDF",...,17829.90,0.92
"Schweiz","1987","FPS/PSL",...,50372.25,2.60
"Schweiz","1987","Lega",...,...,...
"Schweiz","1987","MCR",...,...,...
"Schweiz","1987","Sep./Sép.",...,2844.96,0.15
"Schweiz","1987","Übrige/Autres",...,47660.55,2.46
"Schweiz","1983","FDP/PLR (PRD)",...,457283.03,23.33
"Schweiz","1983","CVP/PDC",...,396280.52,20.22
"Schweiz","1983","SP/PS",...,447633.84,22.84
"Schweiz","1983","SVP/UDC",...,217166.34,11.08
"Schweiz","1983","LPS/PLS",...,55326.21,2.82
"Schweiz","1983","LdU/AdI",...,78291.70,3.99
"Schweiz","1983","EVP/PEV",...,40837.10,2.08
"Schweiz","1983","CSP/PCS",...,7807.61,0.40
"Schweiz","1983","GLP/PVL",...,...,...
"Schweiz","1983","BDP/PBD",...,...,...
"Schweiz","1983","PdA/PST",...,17488.01,0.89
"Schweiz","1983","PSA",...,9961.63,0.51
"Schweiz","1983","POCH",...,43694.15,2.23
"Schweiz","1983","GPS/PES",...,37079.22,1.89
"Schweiz","1983","FGA/AVF",...,20062.64,1.02
"Schweiz","1983","Sol.",...,...,...
"Schweiz","1983","SD/DS",...,57592.28,2.94
"Schweiz","1983","Rep./Rép.",...,10148.24,0.52
"Schweiz","1983","EDU/UDF",...,7589.70,0.39
"Schweiz","1983","FPS/PSL",...,...,...
"Schweiz","1983","Lega",...,...,...
"Schweiz","1983","MCR",...,...,...
"Schweiz","1983","Sep./Sép.",...,6703.38,0.34
"Schweiz","1983","Übrige/Autres",...,48895.41,2.49
"Schweiz","1979","FDP/PLR (PRD)",...,440098.50,24.01
"Schweiz","1979","CVP/PDC",...,390281.17,21.29
"Schweiz","1979","SP/PS",...,447989.97,24.44
"Schweiz","1979","SVP/UDC",...,212704.67,11.60
"Schweiz","1979","LPS/PLS",...,51257.67,2.80
"Schweiz","1979","LdU/AdI",...,74622.95,4.07
"Schweiz","1979","EVP/PEV",...,40744.46,2.22
"Schweiz","1979","CSP/PCS",...,...,...
"Schweiz","1979","GLP/PVL",...,...,...
"Schweiz","1979","BDP/PBD",...,...,...
"Schweiz","1979","PdA/PST",...,38187.33,2.08
"Schweiz","1979","PSA",...,8146.77,0.44
"Schweiz","1979","POCH",...,31127.53,1.70
"Schweiz","1979","GPS/PES",...,11583.02,0.63
"Schweiz","1979","FGA/AVF",...,3236.25,0.18
"Schweiz","1979","Sol.",...,...,...
"Schweiz","1979","SD/DS",...,24257.05,1.32
"Schweiz","1979","Rep./Rép.",...,11587.39,0.63
"Schweiz","1979","EDU/UDF",...,4625.95,0.25
"Schweiz","1979","FPS/PSL",...,...,...
"Schweiz","1979","Lega",...,...,...
"Schweiz","1979","MCR",...,...,...
"Schweiz","1979","Sep./Sép.",...,8344.42,0.46
"Schweiz","1979","Übrige/Autres",...,34395.90,1.88
"Schweiz","1975","FDP/PLR (PRD)",...,428918.87,22.21
"Schweiz","1975","CVP/PDC",...,407285.99,21.09
"Schweiz","1975","SP/PS",...,480396.20,24.87
"Schweiz","1975","SVP/UDC",...,192052.67,9.94
"Schweiz","1975","LPS/PLS",...,47255.79,2.45
"Schweiz","1975","LdU/AdI",...,117217.46,6.07
"Schweiz","1975","EVP/PEV",...,37959.30,1.97
"Schweiz","1975","CSP/PCS",...,2882.81,0.15
"Schweiz","1975","GLP/PVL",...,...,...
"Schweiz","1975","BDP/PBD",...,...,...
"Schweiz","1975","PdA/PST",...,45799.09,2.37
"Schweiz","1975","PSA",...,6706.30,0.35
"Schweiz","1975","POCH",...,19172.77,0.99
"Schweiz","1975","GPS/PES",...,1245.84,0.06
"Schweiz","1975","FGA/AVF",...,...,...
"Schweiz","1975","Sol.",...,...,...
"Schweiz","1975","SD/DS",...,47796.07,2.47
"Schweiz","1975","Rep./Rép.",...,57192.49,2.96
"Schweiz","1975","EDU/UDF",...,6716.83,0.35
"Schweiz","1975","FPS/PSL",...,...,...
"Schweiz","1975","Lega",...,...,...
"Schweiz","1975","MCR",...,...,...
"Schweiz","1975","Sep./Sép.",...,6167.36,0.32
"Schweiz","1975","Übrige/Autres",...,26621.16,1.38
