year,a_council,total,topic,share,n
2000,Nationalrat,239,Internationale Politik,0.07531380753138076,18
2000,Ständerat,33,Internationale Politik,0.030303030303030304,1
2000,Bundesrat,9,Internationale Politik,0.33333333333333337,3
2000,Volksinitiative,5,Internationale Politik,0.2,1
2001,Nationalrat,1172,Internationale Politik,0.06399317406143344,75
2001,Ständerat,122,Internationale Politik,0.04918032786885246,6
2001,Bundesrat,70,Internationale Politik,0.11428571428571428,8
2001,Volksinitiative,5,Internationale Politik,0,0
2002,Nationalrat,1139,Internationale Politik,0.08691834942932397,99
2002,Ständerat,138,Internationale Politik,0.050724637681159424,7
2002,Bundesrat,82,Internationale Politik,0.0975609756097561,8
2003,Nationalrat,1054,Internationale Politik,0.09013282732447818,95
2003,Ständerat,115,Internationale Politik,0.08695652173913043,10
2003,Bundesrat,73,Internationale Politik,0.1232876712328767,9
2003,Volksinitiative,2,Internationale Politik,0,0
2004,Nationalrat,1249,Internationale Politik,0.07205764611689353,90
2004,Ständerat,123,Internationale Politik,0.04065040650406505,5
2004,Bundesrat,75,Internationale Politik,0.08,6
2004,Volksinitiative,3,Internationale Politik,0,0
2005,Nationalrat,1348,Internationale Politik,0.09643916913946587,130
2005,Ständerat,135,Internationale Politik,0.06666666666666667,9
2005,Bundesrat,74,Internationale Politik,0.08108108108108109,6
2005,Volksinitiative,3,Internationale Politik,0,0
2006,Nationalrat,1352,Internationale Politik,0.08431952662721894,114
2006,Ständerat,124,Internationale Politik,0.06451612903225806,8
2006,Bundesrat,91,Internationale Politik,0.13186813186813187,12
2006,Volksinitiative,6,Internationale Politik,0,0
2007,Nationalrat,1398,Internationale Politik,0.06366237482117311,89
2007,Ständerat,136,Internationale Politik,0.022058823529411766,3
2007,Bundesrat,82,Internationale Politik,0.12195121951219512,10
2007,Volksinitiative,4,Internationale Politik,0,0
2008,Nationalrat,1644,Internationale Politik,0.05778588807785888,95
2008,Ständerat,142,Internationale Politik,0.02816901408450704,4
2008,Bundesrat,60,Internationale Politik,0.16666666666666669,10
2008,Volksinitiative,6,Internationale Politik,0,0
2009,Nationalrat,2104,Internationale Politik,0.06368821292775666,134
2009,Ständerat,201,Internationale Politik,0.05970149253731344,12
2009,Bundesrat,79,Internationale Politik,0.10126582278481014,8
2009,Volksinitiative,7,Internationale Politik,0,0
2010,Nationalrat,1873,Internationale Politik,0.06567004805125468,123
2010,Ständerat,184,Internationale Politik,0.03804347826086957,7
2010,Bundesrat,100,Internationale Politik,0.12,12
2010,Volksinitiative,6,Internationale Politik,0.16666666666666669,1
2011,Nationalrat,1792,Internationale Politik,0.08091517857142858,145
2011,Ständerat,179,Internationale Politik,0.027932960893854747,5
2011,Bundesrat,61,Internationale Politik,0.06557377049180328,4
2011,Volksinitiative,3,Internationale Politik,0,0
2012,Nationalrat,1852,Internationale Politik,0.058315334773218146,108
2012,Ständerat,187,Internationale Politik,0.026737967914438502,5
2012,Bundesrat,84,Internationale Politik,0.10714285714285714,9
2012,Volksinitiative,10,Internationale Politik,0,0
2013,Nationalrat,1940,Internationale Politik,0.0829896907216495,161
2013,Ständerat,182,Internationale Politik,0.03296703296703297,6
2013,Bundesrat,86,Internationale Politik,0.06976744186046512,6
2013,Volksinitiative,11,Internationale Politik,0,0
2014,Nationalrat,1994,Internationale Politik,0.11133400200601805,222
2014,Ständerat,185,Internationale Politik,0.08108108108108109,15
2014,Bundesrat,84,Internationale Politik,0.10714285714285714,9
2014,Volksinitiative,7,Internationale Politik,0,0
2015,Nationalrat,1944,Internationale Politik,0.1286008230452675,250
2015,Ständerat,174,Internationale Politik,0.06896551724137931,12
2015,Bundesrat,71,Internationale Politik,0.23943661971830985,17
2015,Volksinitiative,4,Internationale Politik,0,0
2016,Nationalrat,1811,Internationale Politik,0.14743235781336278,267
2016,Ständerat,171,Internationale Politik,0.13450292397660818,23
2016,Bundesrat,69,Internationale Politik,0.3188405797101449,22
2016,Volksinitiative,3,Internationale Politik,0,0
2017,Nationalrat,2048,Internationale Politik,0.1328125,272
2017,Ständerat,179,Internationale Politik,0.09497206703910616,17
2017,Bundesrat,60,Internationale Politik,0.33333333333333337,20
2017,Volksinitiative,7,Internationale Politik,0,0
2018,Nationalrat,1127,Internationale Politik,0.12599822537710736,142
2018,Ständerat,82,Internationale Politik,0.08536585365853659,7
2018,Bundesrat,39,Internationale Politik,0.25641025641025644,10
2018,Volksinitiative,2,Internationale Politik,0,0
2000,Nationalrat,239,Sicherheitspolitik,0.09205020920502091,22
2000,Ständerat,33,Sicherheitspolitik,0.15151515151515152,5
2000,Bundesrat,9,Sicherheitspolitik,0,0
2000,Volksinitiative,5,Sicherheitspolitik,0,0
2001,Nationalrat,1172,Sicherheitspolitik,0.06655290102389079,78
2001,Ständerat,122,Sicherheitspolitik,0.05737704918032786,7
2001,Bundesrat,70,Sicherheitspolitik,0.1285714285714286,9
2001,Volksinitiative,5,Sicherheitspolitik,0,0
2002,Nationalrat,1139,Sicherheitspolitik,0.05970149253731344,68
2002,Ständerat,138,Sicherheitspolitik,0.021739130434782608,3
2002,Bundesrat,82,Sicherheitspolitik,0.0975609756097561,8
2003,Nationalrat,1054,Sicherheitspolitik,0.09392789373814042,99
2003,Ständerat,115,Sicherheitspolitik,0.026086956521739132,3
2003,Bundesrat,73,Sicherheitspolitik,0.1232876712328767,9
2003,Volksinitiative,2,Sicherheitspolitik,0,0
2004,Nationalrat,1249,Sicherheitspolitik,0.09847878302642114,123
2004,Ständerat,123,Sicherheitspolitik,0.06504065040650406,8
2004,Bundesrat,75,Sicherheitspolitik,0.10666666666666666,8
2004,Volksinitiative,3,Sicherheitspolitik,0,0
2005,Nationalrat,1348,Sicherheitspolitik,0.11572700296735905,156
2005,Ständerat,135,Sicherheitspolitik,0.06666666666666667,9
2005,Bundesrat,74,Sicherheitspolitik,0.12162162162162161,9
2005,Volksinitiative,3,Sicherheitspolitik,0,0
2006,Nationalrat,1352,Sicherheitspolitik,0.08727810650887574,118
2006,Ständerat,124,Sicherheitspolitik,0.04032258064516129,5
