year,a_author_fraction,total,topic,share,n
2000,Christlichdemokratische Fraktion,36,Internationale Politik,0.027777777777777776,1
2000,Evangelische und Unabhängige Fraktion,6,Internationale Politik,0,0
2000,Fraktion der Schweizerischen Volkspartei,30,Internationale Politik,0.03333333333333333,1
2000,Fraktionslos,11,Internationale Politik,0,0
2000,Freisinnig-demokratische Fraktion,58,Internationale Politik,0.034482758620689655,2
2000,Grüne Fraktion,26,Internationale Politik,0.23076923076923075,6
2000,Liberale Fraktion,6,Internationale Politik,0,0
2000,Sozialdemokratische Fraktion,73,Internationale Politik,0.08219178082191782,6
2001,Christlichdemokratische Fraktion,183,Internationale Politik,0.005464480874316941,1
2001,Evangelische und Unabhängige Fraktion,34,Internationale Politik,0.029411764705882356,1
2001,Fraktion der Schweizerischen Volkspartei,208,Internationale Politik,0.10576923076923077,22
2001,Fraktionslos,41,Internationale Politik,0.07317073170731708,3
2001,Freisinnig-demokratische Fraktion,174,Internationale Politik,0.017241379310344827,3
2001,Grüne Fraktion,133,Internationale Politik,0.11278195488721804,15
2001,Liberale Fraktion,20,Internationale Politik,0,0
2001,Sozialdemokratische Fraktion,373,Internationale Politik,0.08579088471849866,32
2002,Christlichdemokratische Fraktion,214,Internationale Politik,0.028037383177570093,6
2002,Evangelische und Unabhängige Fraktion,26,Internationale Politik,0.038461538461538464,1
2002,Fraktion der Schweizerischen Volkspartei,196,Internationale Politik,0.12755102040816327,25
2002,Fraktionslos,45,Internationale Politik,0.15555555555555556,7
2002,Freisinnig-demokratische Fraktion,189,Internationale Politik,0.026455026455026457,5
2002,Grüne Fraktion,95,Internationale Politik,0.2,19
2002,Liberale Fraktion,20,Internationale Politik,0.1,2
2002,Sozialdemokratische Fraktion,350,Internationale Politik,0.09428571428571429,33
2003,Christlichdemokratische Fraktion,176,Internationale Politik,0.03409090909090909,6
2003,Evangelische und Unabhängige Fraktion,26,Internationale Politik,0.07692307692307693,2
2003,EVP/EDU Fraktion,5,Internationale Politik,0,0
2003,Fraktion der Schweizerischen Volkspartei,211,Internationale Politik,0.09004739336492891,19
2003,Fraktionslos,40,Internationale Politik,0.05,2
2003,Freisinnig-demokratische Fraktion,142,Internationale Politik,0.06338028169014084,9
2003,Grüne Fraktion,109,Internationale Politik,0.2018348623853211,22
2003,Liberale Fraktion,13,Internationale Politik,0.07692307692307693,1
2003,Sozialdemokratische Fraktion,309,Internationale Politik,0.11650485436893204,36
2004,Christlichdemokratische Fraktion,230,Internationale Politik,0.013043478260869566,3
2004,EVP/EDU Fraktion,33,Internationale Politik,0,0
2004,Fraktion der Schweizerischen Volkspartei,271,Internationale Politik,0.05904059040590406,16
2004,Fraktionslos,48,Internationale Politik,0.04166666666666667,2
2004,Freisinnig-demokratische Fraktion,187,Internationale Politik,0.0374331550802139,7
2004,Grüne Fraktion,136,Internationale Politik,0.17647058823529413,24
2004,Sozialdemokratische Fraktion,410,Internationale Politik,0.0975609756097561,40
2005,Christlichdemokratische Fraktion,209,Internationale Politik,0.04784688995215311,10
2005,EVP/EDU Fraktion,50,Internationale Politik,0.08,4
2005,Fraktion der Schweizerischen Volkspartei,309,Internationale Politik,0.08414239482200647,26
2005,Fraktionslos,61,Internationale Politik,0.04918032786885246,3
2005,Freisinnig-demokratische Fraktion,176,Internationale Politik,0.0625,11
2005,Grüne Fraktion,184,Internationale Politik,0.1847826086956522,34
2005,Sozialdemokratische Fraktion,434,Internationale Politik,0.10599078341013826,46
2006,Christlichdemokratische Fraktion,199,Internationale Politik,0.02512562814070352,5
2006,EVP/EDU Fraktion,45,Internationale Politik,0.15555555555555556,7
2006,Fraktion der Schweizerischen Volkspartei,271,Internationale Politik,0.08118081180811808,22
2006,Fraktionslos,53,Internationale Politik,0.056603773584905655,3
2006,Freisinnig-demokratische Fraktion,205,Internationale Politik,0.06341463414634146,13
2006,Grüne Fraktion,216,Internationale Politik,0.13425925925925924,29
2006,Sozialdemokratische Fraktion,421,Internationale Politik,0.08551068883610452,36
2007,Christlichdemokratische Fraktion,146,Internationale Politik,0.04109589041095891,6
2007,EVP/EDU Fraktion,23,Internationale Politik,0.08695652173913043,2
2007,Fraktion CVP/EVP/glp,29,Internationale Politik,0,0
2007,Fraktion der Schweizerischen Volkspartei,331,Internationale Politik,0.0634441087613293,21
2007,Fraktionslos,35,Internationale Politik,0.02857142857142857,1
2007,Freisinnig-demokratische Fraktion,198,Internationale Politik,0.045454545454545456,9
