year,articles,months,per_month
1995,1547,12,128.91666666666666
1996,1610,12,134.16666666666666
1997,777,12,64.75
1998,1895,12,157.91666666666666
1999,726,12,60.5
2000,1287,12,107.25
2001,1994,12,166.16666666666666
2002,1686,12,140.5
2003,1959,12,163.25
2004,1907,12,158.91666666666666
2005,2891,12,240.91666666666666
2006,3826,12,318.8333333333333
2007,13600,12,1133.3333333333333
2008,8563,12,713.5833333333334
2009,9581,12,798.4166666666666
2010,5897,12,491.4166666666667
2011,5206,12,433.8333333333333
2012,4582,12,381.8333333333333
2013,4484,12,373.6666666666667
2014,4511,12,375.9166666666667
2015,6775,12,564.5833333333334
2016,7547,12,628.9166666666666
2017,11106,12,925.5
2018,13880,12,1156.6666666666667
2019,11508,4,2877
